at,userName,appVersion,score,content,services,app_performance,registration_verification
2025-12-01 22:34:52,Rohmah01,4.13.1,5,ok,,,
2025-12-01 22:34:33,M. Candri,4.14.0,4,susah daftar antrean online status gagal terus,-1,-1,
2025-12-01 22:32:54,Ihya Dwiputra,4.14.0,1,"apk aneh gabisa dipake susah buat login,padahal udah ferivikasi beberap kali",,-1,-1
2025-12-01 22:15:39,Chika Athallia,4.14.0,5,bagus,,,
2025-12-01 22:03:46,Muhrijum Ijum,4.14.0,5,lebih mudah pakai mobile jkn,1,,
2025-12-01 22:00:28,kdh,,5,semoga semakin sukses,,,
2025-12-01 21:54:00,Dhafa rifalda,4.14.0,1,"kenapa sih sekarang jadi gabisa screenshot padahal butuh banget saya ga tinggal sama orang tua biasanya buat daftarin orang tua dari jarak jauh, nyusahin bgt kalo mau ningkatin keamanan ga gitu caranya..",-1,-1,
2025-12-01 21:43:10,Suseno Wibowo,4.14.0,5,okeyyy,,,
2025-12-01 21:42:28,Nabila Putri,4.14.0,1,tidak bisa di gunakan,,-1,
2025-12-01 21:40:02,vella sfr,4.14.0,1,"susah banget mau login kembali. mana gak bisa di ss lagi aplikasinya, mau bikin pengaduan jadi susah. pokoknya serba susah.",-1,-1,-1
2025-12-01 21:16:56,Gede darmayasa,,5,dengan adanya pendaftaran on line lebih cepat dan praktis.,1,,
2025-12-01 21:16:45,Ir. Mustakim,4.14.0,4,Good,,,
2025-12-01 20:50:30,Lady Puspita,4.14.0,5,ok,,,
2025-12-01 20:49:08,Mitha Maulidya,,5,jgn sering ngebug dong,,-1,
2025-12-01 20:46:50,Amirul,4.14.0,5,betul betul membantu masyarakat yang tidak mampu,1,,
2025-12-01 20:38:07,Kurotu Aini,4.14.0,4,"bagus.. cuma kadang"" suka keluar sendiri aplikasinya.",,-1,
2025-12-01 20:36:00,Suchie Sandi,4.14.0,5,Memudahkan,,,
2025-12-01 20:35:24,Nur Chayati,4.14.0,1,"sering log out sendiri, jadi pas buka app nya harus log in lagi",,-1,-1
2025-12-01 20:35:18,Ibad khalimah,,5,good,,,
2025-12-01 20:31:38,MiLd,4.14.0,3,bagus,,,
2025-12-01 20:19:48,Sopian Sainal,4.14.0,5,Mantapp,,,
2025-12-01 20:13:58,Taufik Hidayat,4.14.0,5,aplikasi mobile JKN emang ok,,,
2025-12-01 20:06:31,AGUNG PRIYONO,4.14.0,1,"Aplikasi ribet, tiap mau dipakai harus login. Pakai fingerprint sering gagal katanya salah NIK. Dibikin mudah kayak WA aja bisa kan kalau mau pakai tinggal buka gak usah logan login segala. Dah gitu kalau mau pakai selalu diingetin menu-menu. Gak penting dan buang-buang waktu.",,-1,-1
2025-12-01 20:05:06,Husen,4.14.0,5,sangat membantu biar cepat antrian,1,,
2025-12-01 20:00:48,Putra Sumuragung,,5,"aplikasi sangat membantu, Alhamdulillah",1,,
2025-12-01 19:52:11,Herman,4.14.0,5,Mantap,,,
2025-12-01 19:49:03,Rahmat Siswoko,4.14.0,1,"aplikasi lama ga dipakai tiap mau berobat harus login lagi, harus ingat² paswordnya dan apalagi capchanya ga jelas sm sekali ulang terus. Mau simpan daftar berobat malahan wajib isi screening… benar benar payah pelayanannya 👎",-1,-1,-1
2025-12-01 19:40:41,Arip Rahman,4.14.0,5,mantablah,,,
2025-12-01 19:39:18,Bambang Tri Hariyanto,4.14.0,5,niceeeeee,,,
2025-12-01 19:35:44,Eka Eka,4.14.0,5,memudahkan,,,
2025-12-01 19:33:35,abizard punk,4.14.0,5,mantap,,,
2025-12-01 19:30:46,I Wayan Suana,4.14.0,5,bagus,,,
2025-12-01 19:23:15,Meliyana Meli,4.14.0,5,bagusss,,,
2025-12-01 19:21:25,Ivaaa sukasusu,,1,"saya kecewa karna selalu ke log out automatic terus saat mau masuk kembali gabisa emailnya salah, kata sandi salah, minta kode OTP juga ga bisa…",,-1,-1
2025-12-01 19:16:19,Revanna Maheera,4.14.0,1,"kenapa aplikasinya selalu keluar sendiri?? saya mau ambil antria selalu ada tulisan ""ANDA SEDANG OFFLINE""…",-1,-1,
2025-12-01 19:15:22,OM Dedi Channel,4.5.1,2,seharusnya Apl ini memudahkan sekali untuk daftar antrian. tapi payahnya kebanyakan Logout…,,-1,-1
2025-12-01 19:09:17,Azmi Maani,4.14.0,5,pelayanan baik,1,,
2025-12-01 19:07:06,MIFTAHUR RIZQI,4.14.0,1,udah ada antrean tapi puskesmasnya ga buka jadi gimana dong tolong beri penjelasan…,-1,,
2025-12-01 19:04:40,Muhamad Riyadi,4.14.0,1,"aplikasi nya ribet, susah dipake klo darurat",-1,-1,
2025-12-01 18:55:26,Kusuma Rosa,4.14.0,2,"tiap bulan selalu log out otomatis,… apk ga bisa di gunakan,terus harus bagaimana dong?",,-1,-1
