at,userName,appVersion,score,content
2025-12-01 22:34:52,Rohmah01,4.13.1,5,ok
2025-12-01 22:34:33,M. Candri,4.14.0,4,susah daftar antrean online status gagal terus
2025-12-01 22:32:54,Ihya Dwiputra,4.14.0,1,"apk aneh gabisa dipake susah buat login,padahal udah ferivikasi beberap kali"
2025-12-01 22:15:39,Chika Athallia,4.14.0,5,bagus
2025-12-01 22:03:46,Muhrijum Ijum,4.14.0,5,lebih mudah pakai mobile jkn
2025-12-01 22:00:28,kdh,,5,semoga semakin sukses
2025-12-01 21:54:00,Dhafa rifalda,4.14.0,1,"kenapa sih sekarang jadi gabisa screenshot padahal butuh banget saya ga tinggal sama orang tua biasanya buat daftarin orang tua dari jarak jauh, nyusahin bgt kalo mau ningkatin keamanan ga gitu caranya.."
2025-12-01 21:43:10,Suseno Wibowo,4.14.0,5,okeee
2025-12-01 21:42:28,Nabila Putri,4.14.0,1,tidak bisa di gunakan
2025-12-01 21:40:02,vella sfr,4.14.0,1,"susah banget mau login kembali. mana gak bisa di ss lagi aplikasinya, mau bikin pengaduan jadi susah. pokoknya serba susah."
2025-12-01 21:16:56,Gede darmayasa,,5,dengan adanya pendaftaran on line lebih cepat dan praktis.
2025-12-01 21:16:45,Ir. Mustakim,4.14.0,4,Good
2025-12-01 20:50:30,Lady Puspita,4.14.0,5,ok
2025-12-01 20:49:08,Mitha Maulidya,,5,jgn sering ngebug dong
2025-12-01 20:46:50,Amirul,4.14.0,5,betul betul membantu masyarakat yang tidak mampu
2025-12-01 20:38:07,Kurotu Aini,4.14.0,4,"bagus.. cuma kadang"" suka keluar sendiri aplikasinya."
2025-12-01 20:36:00,Suchie Sandi,4.14.0,5,Memudahkan
2025-12-01 20:35:24,Nur Chayati,4.14.0,1,"sering log out sendiri, jadi pas buka app nya harus log in lagi"
2025-12-01 20:35:18,Ibad khalimah,,5,good
2025-12-01 20:31:38,MiLd,4.14.0,3,bagus
2025-12-01 20:19:48,Sopian Sainal,4.14.0,5,Mantapp
2025-12-01 20:13:58,Taufik Hidayat,4.14.0,5,aplikasi mobile JKN emang ok
2025-12-01 20:06:31,AGUNG PRIYONO,4.14.0,1,"Aplikasi ribet, tiap mau dipakai harus login. Pakai fingerprint sering gagal katanya salah NIK. Dibikin mudah kayak WA aja bisa kan kalau mau pakai tinggal buka gak usah logan login segala. Dah gitu kalau mau pakai selalu diingetin menu-menu. Gak penting dan buang-buang waktu."
2025-12-01 20:05:06,Husen,4.14.0,5,sangat membantu biar cepat antrian
2025-12-01 20:00:48,Putra Sumuragung,,5,"aplikasi sangat membantu, Alhamdulillah"
2025-12-01 19:52:11,Herman,4.14.0,5,Mantap
2025-12-01 19:49:03,Rahmat Siswoko,4.14.0,1,"aplikasi lama ga dipakai tiap mau berobat harus login lagi, harus ingat² paswordnya dan apalagi capchanya ga jelas sm sekali ulang terus. Mau simpan daftar berobat malahan wajib isi screening padahal badan sudah meriang pengen cepat minum obat malah kebanyakan ngisi data kayak ujian nasional saja. benar benar payah pelayanannya 👎"
2025-12-01 19:40:41,Arip Rahman,4.14.0,5,mantablah
2025-12-01 19:39:18,Bambang Tri Hariyanto,4.14.0,5,niceeeeee
2025-12-01 19:35:44,Eka Eka,4.14.0,5,memudahkan
2025-12-01 19:33:35,abizard punk,4.14.0,5,mantap
2025-12-01 19:30:46,I Wayan Suana,4.14.0,5,bagus
2025-12-01 19:23:15,Meliyana Meli,4.14.0,5,bagusss
2025-12-01 19:21:25,Ivaaa sukasusu,,1,"saya kecewa karna selalu ke log out automatic terus saat mau masuk kembali gabisa emailnya salah, kata sandi salah, minta kode OTP juga ga bisa padahal saya sampe bayar orng buat balikkin akun saya pas udah balik malah ke log out lagi rugi saya bayar orang, saya kecewa banget aplikasi nya jadi JELEK DAN TIDAK BERGUNA"
2025-12-01 19:16:19,Revanna Maheera,4.14.0,1,"kenapa aplikasinya selalu keluar sendiri?? saya mau ambil antria selalu ada tulisan ""ANDA SEDANG OFFLINE"" tolong atasi masalah ini MOBILE JKN kenapa selalu keluar sendiri APLIKASINYA!! JUJUR SAYA KECEWA BERAT SAMA APLIKASI JKN INI!! KARNA TIDAK JELAS UNTUK SEKARANG INI!!"
2025-12-01 19:15:22,OM Dedi Channel,4.5.1,2,seharusnya Apl ini memudahkan sekali untuk daftar antrian. tapi payahnya kebanyakan Logout apalagi kita lupa pasword payah ini payah yang tadinya buru buru jadi gugup gk karuan. perbarui lagi lah lebih mudah kita masuk apl gk kebnykan logoutnya
2025-12-01 19:09:17,Azmi Maani,4.14.0,5,pelayanan baik
2025-12-01 19:07:06,MIFTAHUR RIZQI,4.14.0,1,udah ada antrean tapi puskesmasnya ga buka jadi gimana dong tolong beri penjelasan padahal disaana sudah di tetap kan nomor antreannya jam berapa dan tinggal berapa orang lagi yang mau dilayani dokter tersebut
2025-12-01 19:04:40,Muhamad Riyadi,4.14.0,1,"aplikasi nya ribet, susah dipake klo darurat"
2025-12-01 18:55:26,Kusuma Rosa,4.14.0,2,"tiap bulan selalu log out otomatis,padahal hampir setiap hari di buka,dan setiap minggu di gunakan buat kontrol RS,,sedangkan bsok sudah waktu kontrol,dan apk ga bisa di gunakan,terus harus bagaimana dong?"
2025-12-01 18:51:29,Aep Aradea,4.14.0,5,sangat membantu
2025-12-01 18:48:19,Kian Santang,,1,"sms verifikasi lamaaaa banget , udh 3 x gak nongol'' sms nya !!"
2025-12-01 18:43:57,Fetriko Riko,4.14.0,5,aplikasi ok
2025-12-01 18:38:26,Putri Hana Nabila,4.14.0,5,sangnt berguna
2025-12-01 18:32:09,Ramlan002 Ramlan,4.14.0,5,baik
2025-12-01 18:14:03,Yunisa Nisa,,1,knp slalu tekeluar setiap mau di pakei slalu daptar ulang susah lagi
2025-12-01 18:12:22,YT SyarifIndo,4.14.0,5,bagus
2025-12-01 18:10:52,Rudi Rudi,4.14.0,5,sangat puas
2025-12-01 18:09:41,Kai Mochi,,1,lemot banget gustiii login mau liat antrian rujukan
2025-12-01 18:05:03,Agus Said,4.14.0,5,sangat membantu
2025-12-01 17:57:46,Raden Suwono,4.14.0,5,jadi lebih mudah dalam berobat .terimakasih jkn mobile 🙏🙏
2025-12-01 17:55:49,Arie Sheva,,5,aplikasi sangat membantu
2025-12-01 17:51:06,syifaalifa_26,4.14.0,5,sangat membantu
2025-12-01 17:36:11,Sutrizno 1897,4.14.0,1,udah d update...pas masuk malah akun tidak terdaftar harus daftar ulang lagi.. udah d isi malah tidak terdaftar di disdukcapil...
2025-12-01 17:31:30,Sien Shippuden,4.14.0,4,keren coy
2025-12-01 17:23:49,Zairullah Malik,4.14.0,5,mantap
2025-12-01 17:11:52,Ralis Azzamfahmi,4.14.0,4,ok
2025-12-01 17:11:23,Evan Sinyo,,1,"Aplikasi kecil, tapi butuh internet dgn speed yg besar.."
2025-12-01 17:02:19,Indri Rahayu,4.14.0,5,sangat puas
2025-12-01 16:53:00,Agus Arsianto,4.14.0,1,sudah di update susah masuk
2025-12-01 16:43:27,Gula jawa,,5,semoga jadi makin lebih baik
2025-12-01 16:42:28,Sri Desi Susanti,4.14.0,2,"kenapa sih mau ganti password email gak bisa dari SMS gak muncul muncul juga, padahal sinyal bagus. pake biometrik belom terdaftar katanya padahal sebelumnya bisa. kenapa sih apk pemerintah suka kek gini terus. sebelumnya jmo sekarang ini. padahal suka login terus."
2025-12-01 16:06:44,ayu riska,4.14.0,5,bagus
2025-12-01 15:59:58,Apriliani Wulandari,4.14.0,5,bagus
2025-12-01 15:55:13,roli satu,4.14.0,5,mantap
2025-12-01 15:54:04,Andriansyah Saputra,4.14.0,1,anda blm memiliki rujukan dan surat kontrol.kenapa ya
2025-12-01 15:51:16,Elzayan,4.14.0,4,sangat membantu
2025-12-01 15:50:23,Nova Lina,4.14.0,2,mobile kkn nya tindak bisa di login lagi
2025-12-01 15:43:05,Banta Sitanggang,4.14.0,5,mantap
2025-12-01 15:40:47,Miftahul Janah,4.14.0,5,"sangat amat membantu,semua jadi lebih praktis,, terimakasih tetap pertahankan yaa"
2025-12-01 15:36:17,Situmorang Ade,4.14.0,1,"berobat di JEC mata Cinere malah di suruh bayar obat 7rts lebih,seharusnya gratis. gunaya nya bpjs itu apa????? malah di suruh bayar. brengsek lah parah dokter mata itu."
2025-12-01 15:29:57,Wiyono,,5,"semakin hari apk ini semakin bagus,"
2025-12-01 15:25:11,Tuti Nurhayati,,1,dari kemarin gak bisa dibuka
2025-12-01 15:23:07,Yudi Mayrinto,4.14.0,5,Aplikasi JKN mobile sangat menbantu masyarakat lebih ditinkatkan lagi pelayanan digital agar lbih baik tks
2025-12-01 15:22:22,Clarissa Violyn Tambunan,,4,"saya bingung mau lihat masa Surat rujukan di mobile jkn itu bagaimana caranya ya? soalnya pas saya lihat lihat fitur2nya tidak ada tulisan ""rujukan"" sesuai dengan perintah dari google 🙏"
2025-12-01 15:21:16,Suparto Kt,,1,aplikasi tolol data udah bener bilang gak sesuai sama data emangnya kk sayang bikin dari mna salah bikin sendiri orang bikin dari kelurahan
2025-12-01 15:17:43,Ratna Wilis,4.14.0,5,"aplikasi yang sangat membantu, tidak merepotkan juga dan sangat menghemat waktu untuk tidak antri"
2025-12-01 15:17:05,anti_ hijau,4.14.0,5,aplikasi yang sangat membantu
2025-12-01 15:16:04,Fernando Gilberto Thenu,4.14.0,1,"Selalu Log Out kalau update dan juga ngirim kode OTP lewat SMS di tunggu sampai lama pun gk ada menerima kodenya coba lewat email malah tertulis email tidak terdaftar... Aplikasi ini menyulitkan pengguna aja tidak ada solusi yang diberikan.. sangat di sayangkan yang seharusnya memudahkan pengguna malah menyulitkan pengguna mending balik ke awal aja tidak perlu ada aplikasi kalau tambah menyulitkan, jujur tidak ada maju²nya aplikasinya malah makin parah... 👎🏻"
2025-12-01 15:14:30,Elis Suryani,4.14.0,5,terimakasih 💐💐💐
2025-12-01 14:56:57,Heri Boby,4.14.0,5,Sangat Membantu
2025-12-01 14:53:16,Sunarto Narto,4.14.0,5,mantab
2025-12-01 14:44:37,sapri wandi hutagalung,4.12.0,4,"kis saya do nonaktifkan, bagaimana cara untuk mengaktifkan kembali. mohon saran"
2025-12-01 14:32:00,Achmad Iryandi,,5,sangat membantu dalam hal kesehatan
2025-12-01 14:20:09,Adib Chilmi,4.14.0,5,mudah digunakan
2025-12-01 14:14:09,Aisha Ahmad,,5,terbaik
2025-12-01 14:02:25,tri ayu wulandari,4.14.0,1,minta kode otp lama
2025-12-01 14:01:08,Elisigit Pranoto,4.14.0,5,good job
2025-12-01 13:55:59,Android Lahta,2.12.0,1,kok banyak yg mengatasnamakan BPJS Kesehatan padahal diduga pencurian data??
2025-12-01 13:54:56,Blok Patik hilir,4.14.0,5,aplikasi mudah di gunakan
2025-12-01 13:46:21,ᴀdib,,3,Untuk ubah² data sering error
2025-12-01 13:42:41,Rini Julianty,4.14.0,3,ribet amat mau daftar online ke pkm tapi banyak gangguan percuma ada jkn mobile ttep harus ngambil antrean ke faskes 1
2025-12-01 13:40:25,Khakam Malik,4.14.0,1,sumpah gak jelas. logout sendiri. giliran login susah. gaji buta ya developer nya
2025-12-01 13:32:43,Rossa Ocha,4.14.0,5,akses mudah..tk perlu ribet
2025-12-01 13:31:38,Gunawan Wijaya,4.14.0,5,Bpjs Byk menolong warga Indonesia
2025-12-01 13:26:24,Wanto Pur,4.14.0,5,bagus banget respon cepat
2025-12-01 13:22:39,Ari Widiyanto,4.12.0,5,ok
2025-12-01 13:20:27,Andi Ratu,4.14.0,5,gmpang dan cepat
2025-12-01 12:58:44,Herdy Herdy,4.7.0,5,bisa terbantu
2025-12-01 12:58:02,Heriyanto Armyl,,5,mantap
2025-12-01 12:50:51,endro priyono,4.14.0,5,aplikasinya sangat membantu
2025-12-01 12:41:24,Muh Sin,4.14.0,3,"mau daptar onlen ko gagal terus,tidak terhubung ke server RS nya.padahal sudah di paskes rujukan.tolong apa kendala nya"
2025-12-01 12:27:22,adip muchammad,4.14.0,1,DULU kontrol ke puskesmas MUDAH. sekarang SULIT dan RUWET sejak muncul aplikasi ini. saya ucapkan TERIMA KASIH sudah MEMPERSULIT pendaftaran ke puskesmas.
2025-12-01 12:11:00,Ryan Al-Mahdhy,,5,Terimakasih sangat membantu saya 🙏😊
2025-12-01 12:09:31,Sri Harti,,5,mempermudah
2025-12-01 12:07:52,Rudy Safar Safarior,4.14.0,3,Login gagal terus
2025-12-01 12:04:39,ARDI,4.14.0,4,sangat membantu
2025-12-01 11:55:31,Muhamad Hairul,,1,"gw mo ss gakk bisa, nunjukin no antrian gak bisa karna screenshot ga BS mau Lo apa sih? gak smua org punya paket data. pertimbangkan itu sebelum bikin apps jelek kek gini!"
2025-12-01 11:51:36,Ikhwan Putra,,5,ok
2025-12-01 11:41:45,Poppy Aries,4.14.0,5,sangan bermanfaat
2025-12-01 11:37:45,Nur Rohman,4.14.0,2,"tolong fitur screenshot jangan di hapus, saya kalo buat laporan rujukan tidak muncul butuh buktinya, la kalo screenshot nya di hilangkan gimana saya ngasih bukti buat laporannya"
2025-12-01 11:07:30,waluyo dwi,4.14.0,5,Bagus sistem nya sangat membantu terima kasih
2025-12-01 11:02:12,Koirul Soleh,4.14.0,1,aplikasi jkn sering eror daftar Mulu payah harusnya dibuat muda masyarakat jangan dipersulit tolong jangan erorr trs aplikasinya
2025-12-01 10:55:01,Yono Rustandi,4.14.0,5,"mudah digunakan, canggih dan jelas data dan menu yang di tampilkan"
2025-12-01 10:50:10,manga Channel,4.14.0,1,ribet bnyak gangguan nya
2025-12-01 10:49:22,Nur Hapipah,4.14.0,5,sangat bagus
2025-12-01 10:45:39,Vyan Hyde,4.14.0,1,"aplikasi sudah tidak berguna, mau daftar antrian aja selalu dan terus bermasalah, cs jugak gak ada gunanya, laporan juga gak berguna, pokoknya nih aplikasi gak ada gunanya, bug dan selalu banyak masalah."
2025-12-01 10:42:47,Delia Janu putri,,5,"Data update, sangat menolong... thanks"
2025-12-01 10:41:51,Attitude Aryy,4.14.0,2,kenapa makin ada pembaruan makin buruk? kenapa akun sering keluar akun ( logout server)? kenapa semakin lelet meskipun signal bagus? padahal Oktober sedikit nyaman loh tapi kenapa November sampai awal Desember banyak gangguannya?
2025-12-01 10:37:33,Citra Marindra,4.14.0,5,mantap
2025-12-01 10:27:47,Dian Asmarani,4.14.0,5,Sangat membantu dalam mengurus BPJS tidak perlu ke kantor pusat
2025-12-01 10:27:43,babby 31desember,4.11.2,5,mantap
2025-12-01 10:27:09,Khalif Ramadhani,4.14.0,3,Setelah di-update makin sulit untuk masuk atau login. sudah berulang2 tetap salah. entah lah harus bagaimana
2025-12-01 10:26:59,khamid seikatsu,,1,kenapa tagihan bulan desember 2025 2X lipat??? dan saya tidak ada denda apapun
2025-12-01 10:24:30,Kinantt,4.14.0,2,"JKN Mobile ini jangan sering logout terus lah, kasihan lansia2, orang2 gaptek atau orang2 yg gak punya smartphone harus numpang ke hp orang lain. Selain itu, gak bisa screen capture pula, pdhl sebelumnya bisa capture. Bukannya aplikasinya maju berkembang, malah mundur. Lebih baik developernya cek langsung ke lapangan, strugglenya kayak apa kalo lagi susah, emang keluarga kalian gak ada yg ngerasain pake aplikasi ini, balikan ke keluarga kalian klo lagi kesusahan."
2025-12-01 10:21:35,Ray Bale,4.14.0,5,pelayanannya sangat bermanfaat dan membantu
2025-12-01 10:19:34,Marlina Marlina,4.14.0,5,bagus cepat sangat fropesional
2025-12-01 10:18:02,Fauzan Abdullah Ali,4.14.0,5,memuaskan sekali
2025-12-01 10:17:50,fanny channel,4.14.0,1,ga bisa masuk sering log out ..udh d benerin kekantor BPJS tetep ga bisa masuk ribett
2025-12-01 10:16:12,Reri Vanisa,4.14.0,5,mantappp
2025-12-01 10:13:36,Alim Bahri CIF T7UW_Sungai Kelara Jeneponto,4.13.1,5,sangat membantu dan memudahkan
2025-12-01 10:12:47,Re Nul,4.14.0,5,baik
2025-12-01 10:07:39,Derizal Putra,4.14.0,5,sangat memudah kan untuk pelayanan kesehatan.
2025-12-01 10:06:41,deni herdiana,4.14.0,2,logout otomatis mulu padahal gx pernah di logout. alhasil masukin sandi lupa lagi.
2025-12-01 10:01:55,Hamdan Tojiri,4.14.0,5,aplikasi yg sangat membantu di eradigitalisasi
2025-12-01 10:01:45,Radeya Zaqi,4.14.0,4,agak ribet tapi cukup membantu
2025-12-01 10:00:09,widi mardiansah,4.14.0,1,aplikasi sampah ga guna. ga di logout malah nglogout sndiri. trus masuk ke akun malah ga ada tanggapan masuk email ga bisa otp kluar. ke no ga bisa masuk. aplikasi ga jelas. di saat di butuhkan malah membagongkan
2025-12-01 09:57:07,fahmi millata zidny,4.14.0,5,ok
2025-12-01 09:54:20,Vico Harianto,4.14.0,1,"error udah mau sebulan,,setiap kali masuk jawabanya coba kembali lagi,coba kembali lagi..itu aja terus....."
2025-12-01 09:51:14,Ledgermayne,,1,"mobile Jkn sudah 2 hari ini down terus, tidak bisa masuk(login). buat antrian aja tidak bisa di akses, screen shot aja tidak bisa"
2025-12-01 09:50:05,Alivia Raehana,,5,bagus apk nya simple
2025-12-01 09:49:14,Rsa Channel,,5,bagus
2025-12-01 09:47:13,Rifqi Tri irawan,4.14.0,5,Mantap
2025-12-01 09:42:37,Widhy Pras,4.14.0,1,"app lemot,katanya mempermudah nyatanya gk bsa d pake karna lemot,lelet"
2025-12-01 09:42:28,adhitya ilyas,4.14.0,1,ke log out sendiri dan sering muncul notif pembaharua sandi
2025-12-01 09:42:14,Ferry Sagai,4.14.0,1,"PAYAH. Sudah daftar dan sudah bisa login. Begitu beberapa hari tidak dibuka, harus daftar lagi. Sudah diimput username dan password yg benar, selalu dibilang salah. Inilah ciri khas layanan pemerintah. Bikin apa2 nggak pernah matang. PAAAYYAAAH.... Perbaiki dong... Jangan menyusahkan rakyat. Kenapa ya, kalau aplikasi pemerintah umumnya ngawur. Seperti tidak niat."
2025-12-01 09:38:09,daniel kostan,4.14.0,1,"kenapa lagi ini aplikasi,,dikatakan sudah log out,, padahal logout dgn sendirinya,, pas masuk lagi gak bisa bisa ,, gimana mau daftar online ke poli kalo gini"
2025-12-01 09:37:35,Dzikryy Arrafiii,4.14.0,1,"disuruh verifikasi tapi semua opsinya gabisa, pake nomor katanya gaada, pake email gabisa, pake wajah gagal terus walau udh terang kaya disurga, tolong dimudahkan"
2025-12-01 09:35:14,TEGUH AE,,1,selalu logout sendiri katanya masalah device padahal aku cuma pake dan punya 1 hp + pas login ulang captcha nya lama banget
2025-12-01 09:35:12,Teh Eno,4.14.0,3,Tolong ya apk nya sering log out sendiri
2025-12-01 09:34:46,Ghoni Aja,,1,"aplikasi aneh,mau daftar aja gak bisa,selalu tulisan offline"
2025-12-01 09:34:41,Rehan Ariel,,1,"gangguan mulu, bela bela in ijin kerja malah gangguan"
2025-12-01 09:34:09,Harmanico Prasetyo,,1,sering gangguan ruwet mbulet
2025-12-01 09:32:41,Ziyan,4.14.0,1,"sampahhhh,asli apk sampah low bnget"
2025-12-01 09:32:11,oky octavia,4.12.0,1,"kalo sekarang pendaftaran wajib pake aplikasi, tolong aplikasinya di benahi karna untuk proses login sangat lama. captha yg muncul sangat sangat lama"
2025-12-01 09:32:04,Game On!,,1,"aplikasi dlogok,mau login susah bener,hapus aja"
2025-12-01 09:31:06,Martin Wega,4.14.0,3,parah nih BPJS aplikasi eror terus. tolong segera di perhatikan sistem. ini menyangkut orang sakit
2025-12-01 09:30:27,Ulul Azmi,4.14.0,1,kode verifikasi sangat lama
2025-12-01 09:30:22,muhammad irsan,4.14.0,1,aneh sering terjadi susah login 🤔
2025-12-01 09:30:19,Mister Abu,4.14.0,1,"APLIKASINYA MAKIN DIUPDATE MAKIN BANYAK BUG PARAH NI, HABIS UPDATE CAPTCHA ERROR, SEKALINYA LOGIN UNTUK AMBIL ANTREAN AJA LOADING MPE SUBUH..INI APLIKASI MILIK PEMERINTAH BUKAN? JANGAN KEK SAMPAH DONG, TOLONG."
2025-12-01 09:30:10,Eko S. Haryono,4.14.0,2,servernya error ya
2025-12-01 09:30:07,Ikhsan Silverz,4.8.0,1,"tolong kalau bisa jgan loh out otomatis ,, loginnya lagi setengah m0dar......boss"
2025-12-01 09:29:13,Cecep Kurnia,4.14.0,3,sering eror
2025-12-01 09:29:01,Rumsah Arum,4.14.0,2,"harus login terus,captcha nya suka error, gabisa di ss untuk kebutuhan ke klinik,mohond diperbaiki"
2025-12-01 09:28:49,KULINO DEWE,,1,loading lama capchta tidak keluar.
2025-12-01 09:28:18,Dedy Cahyono,4.14.0,1,tolong perbaiki sistem nya biar GK keluar²sendri kok dah keluar login nya lama
2025-12-01 09:28:01,mass Genduut,4.14.0,1,"aplikasi muter muter terus, susah login padahal sinyal full"
2025-12-01 09:27:45,Rolif Refo,4.14.0,1,"Untuk daftar akun baru, sangat menyulitkan pada verifikasi wajah untuk orang tua. Ada perintah untuk senyum, yang orang tua di atas 50 tahun wajahnya sudah tidak seekspresif itu. Sudah berusaha buat senyum tapi yaa terbatas gitu, dan gagal terus di verifikasi wajah. Harusnya bisa dengan verifikasi lainnya"
2025-12-01 09:26:46,Syahrul Choirul Anam,,1,aplikasi busuk
2025-12-01 09:26:41,Usta Nugraha,4.14.0,2,"ini captcha nya benerin, masa muter² doang ngga ada kata yang keluar"
2025-12-01 09:26:12,google Playyaa,4.14.0,1,"APALAHH CAPTCHANYAA ITUU LOHH, gk bisaa di generate padahal jaringan udah stabill, pas udahh isi capcha malahh""terjadi kesalahan"", tolongglahh benerin servernyaa!!!"
2025-12-01 09:23:57,Hairul Rul,,1,sering bermasalah aplikasi menyusahkan kasian orang yg tua2 yg tidak mengerti
2025-12-01 09:23:36,Firmana Danil,,1,lemot
2025-12-01 09:23:32,Bima Angga,4.14.0,3,"log out, masuk tidak bisa, error, anda sering device berbeda, tolong bgt ini apk BUMN gunakan anggaran untuk pelayanan semaksimal mungkin, pakai layanan yg pro"
